id;nom;description;prix;image;image_content_type;categorie_id
1;conglomeration Table driver;Assimilated compress Cambridgeshire;87545;../fake-data/blob/hipster.png;image/png;1
2;b Haute-Normandie Cotton;auxiliary Loan c;17517;../fake-data/blob/hipster.png;image/png;2
3;Enterprise-wide morph;calculate Chili;63084;../fake-data/blob/hipster.png;image/png;3
4;c;Jewelery integrate;4391;../fake-data/blob/hipster.png;image/png;4
5;Cheese THX;Lepic;30386;../fake-data/blob/hipster.png;image/png;5
6;b;sensor;59106;../fake-data/blob/hipster.png;image/png;6
7;Fresh B2C Beauty;clear-thinking;9660;../fake-data/blob/hipster.png;image/png;7
8;Granite a salmon;metrics Multi-channelled;41489;../fake-data/blob/hipster.png;image/png;8
9;orange Sports;Guilder mission-critical;13378;../fake-data/blob/hipster.png;image/png;9
10;Keyboard Frozen Movies;Persistent;3714;../fake-data/blob/hipster.png;image/png;10
